# maxrange N1 N2 finalcard time(s)
6648412 4031279 976238 5477670 0.389939 
3565421 1423918 2492249 2264398 0.174405 
19942439 10807823 5426959 15626282 1.157017 
12548159 12327830 9981869 12545699 0.885120 
9001354 8549591 3502938 8981414 0.630807 
2492972 1952805 2276116 2401751 0.172266 
4561852 3341450 3245490 4159969 0.289494 
8375482 1538831 4351443 2777621 0.288209 
7665154 3218669 286531 4988863 0.390824 
10486506 9325635 5961426 10409469 0.738790 
2724790 2429383 1005471 2699167 0.191401 
8323172 5576009 1739345 7356079 0.536672 
16018859 13783661 7852151 15654571 1.107840 
18107280 17289627 1306016 18083117 1.269445 
2146590 2013161 681300 2136278 0.148886 
9725352 6052465 5329327 8389931 0.592948 
19893069 14270341 9921254 18553181 1.326969 
10113083 3589019 2730199 5862444 0.469178 
8189300 7221006 3398638 8058393 0.573201 
14709364 1431841 9422900 2704998 0.339862 
17434154 1228718 14727251 2271581 0.284957 
18273679 927475 13255882 1790129 0.220372 
14292538 9161777 5514496 12400059 0.911647 
4916170 3874146 761574 4682304 0.334210 
7062760 3369209 6446654 5159993 0.359075 
9304465 7838804 5680211 9103015 0.648124 
1713886 1396775 213097 1662469 0.116141 
11826969 3597712 7389360 5780931 0.468296 
12532621 8357453 11729325 11665007 0.826056 
12637289 10150109 12503672 12117241 0.875848 
16734673 8810424 10151526 13194949 0.938783 
7774548 628815 2966825 1154253 0.134908 
12704313 5132822 2546174 7561791 0.623374 
6994949 2144912 150149 3616989 0.312823 
9678468 455228 8722492 884827 0.101059 
18982933 2798570 13098254 5173203 0.644465 
13213171 109005 2473447 213459 0.018405 
5040140 1322185 4578781 2071847 0.178590 
17572761 14933990 5465638 17268125 1.246191 
10210050 4664000 4340654 7467068 0.556862 
19461075 10393114 6944842 14660966 1.057011 
7235624 3917859 1632927 5687176 0.399179 
12456289 5334678 9429955 8160661 0.646627 
19451238 12011839 9060120 16465018 1.190477 
12125383 5461803 8026365 8325651 0.625693 
10526343 8435622 5788501 10082849 0.721765 
10365981 768237 778350 1416260 0.150233 
3068011 23064 308140 45879 0.003428 
10090192 6366193 1345926 7825258 0.569735 
1756868 747555 35118 1184406 0.077782 
17683174 5162591 3283370 9038229 0.800243 
16005216 1868255 1207289 3499165 0.427379 
16945487 7917441 10069963 12314690 0.882593 
10238957 8642555 4097296 10063740 0.718672 
12713933 10662740 11760114 12416879 0.876452 
17293418 3713119 10392957 6674045 0.716275 
2971726 2256132 2396106 2818468 0.202202 
16925393 15783267 14967084 16860702 1.183162 
10372305 8770100 7519419 10174713 0.717465 
11269559 11199079 1126701 11269248 0.797636 
4734562 135480 4226957 267406 0.025592 
3384280 756321 2129102 1287284 0.099374 
5593010 991880 5170896 1783186 0.176804 
4027583 1277222 421139 2030069 0.154624 
1303708 966123 492706 1211797 0.078595 
12132557 115327 2515138 228718 0.020911 
2980710 489920 2971835 898803 0.081976 
19577690 1591373 9278751 3084630 0.403181 
6963638 4247032 5279097 5793644 0.422259 
15227667 9709125 14508653 13238993 0.939452 
7096180 4129283 4742535 5992918 0.440252 
9513899 632719 4469208 1159447 0.125027 
14749154 7464230 6627317 11184245 0.832385 
15258232 2063177 1606318 3879684 0.455088 
10492373 10100865 1439936 10464709 0.739246 
17609663 11014602 16412671 15901599 1.122514 
14620094 2346453 10343321 4250923 0.450096 
16922351 16005186 516404 16877488 1.187195 
2551742 1578900 1827434 2015895 0.138048 
19147515 397544 15325870 780410 0.099024 
15950186 3786627 6138873 6339531 0.579635 
15675634 5171597 5719877 8433707 0.709752 
1812722 1148949 1626273 1579789 0.107130 
16339643 8105430 9803513 12015804 0.863020 
9495354 3652188 1923698 5812431 0.494532 
6510139 5509309 4758032 6434106 0.458189 
4677418 2733661 723848 3956945 0.273591 
19485269 11458150 12226369 15925236 1.146432 
15342733 9119217 8437444 12758590 0.941306 
7654819 2622551 6086273 4370718 0.371500 
7691087 6817156 100669 7630499 0.535273 
12702450 389087 4462552 756693 0.087413 
13556837 7461377 7800715 10599939 0.779584 
8363610 1044575 6454460 1894125 0.213677 
13666704 4261039 4734061 7193969 0.611111 
10769829 306139 3824719 605679 0.063041 
4321892 3209153 3425018 4003978 0.286576 
17303605 10194293 3360059 14617923 1.079836 
14325361 2281113 9966971 3922515 0.460445 
9834447 312654 696188 620171 0.070489 
11574882 6820381 6785445 9499210 0.700074 
11675551 6678263 9139633 9388932 0.694393 
19650353 19183894 9694003 19640621 1.383118 
2764794 1690382 1988358 2360632 0.170379 
16277107 12803952 9508931 15540692 1.132836 
10679664 9884977 4464596 10626462 0.748445 
16098480 8833206 6045834 12557173 0.924477 
12186354 11474759 5660027 12170366 0.852838 
10832933 6806184 10255786 9454169 0.704298 
7106312 4754579 485473 6375480 0.466446 
5186709 3072614 2370542 4369752 0.303759 
15991608 4334557 7487073 7873156 0.672455 
7712995 4192682 384101 5983851 0.434067 
7196295 341299 5095589 636998 0.076361 
18264801 17509631 3783368 18209942 1.301876 
15446571 14555098 1971523 15356153 1.075696 
5251743 1322768 4265242 2288591 0.202707 
4874089 4813026 1116933 4873296 0.344343 
13798878 11462544 4729836 13681568 0.954132 
19885196 13301740 127061 17465256 1.251772 
3304213 3068287 2446956 3278605 0.230144 
4263370 3386824 2721928 4092796 0.291200 
15465115 9472231 12684107 12687362 0.939794 
2982639 1683767 1761624 2472532 0.177572 
2663198 98856 2599371 193537 0.018965 
13206202 9545887 9461389 12149491 0.884711 
12865128 8728529 6022084 11394001 0.827028 
