# maxrange N1 N2 finalcard time(s)
13355511 10498341 3059991 11135134 0.050751 
5632563 1656340 4527332 4907518 0.020098 
4251768 1653967 958198 2194805 0.010123 
2887660 1655588 907276 2065575 0.008448 
18141009 3864120 5834657 7952197 0.037854 
10574887 6611735 7448996 9179403 0.053244 
8794057 4914055 5010227 7109945 0.039425 
5321929 1308797 1205255 2259193 0.010256 
5631942 383476 3832072 3906327 0.008533 
9544209 7618045 4034522 8474390 0.042967 
19952366 2784206 13632779 14527475 0.051003 
18101281 4806122 16227882 16691626 0.055327 
14869401 12869508 11515650 14270211 0.063227 
10273413 1699029 6490360 7095859 0.027798 
8414422 633964 5590527 5785281 0.017303 
11505661 10512074 8887255 11327234 0.047636 
12816071 6433580 9497621 11098807 0.055699 
18138000 9480320 16754000 17479739 0.087580 
3769942 782148 3609408 3650627 0.008458 
5830504 1003535 5726175 5736098 0.016302 
5975358 2870555 3572034 4625484 0.024941 
18179117 5503403 4601744 8854979 0.047824 
13521090 10245820 8287796 12274328 0.064701 
16750614 9278941 3187201 10759012 0.051243 
13918865 3862063 12285296 13093626 0.052643 
2176620 1164649 471083 1325419 0.004990 
18705400 9583032 15458386 16986461 0.090075 
6478004 870809 589334 1374324 0.006649 
15266356 7474683 14404998 14871745 0.060736 
9606368 3868887 4142345 6264017 0.035738 
6586128 331573 4692806 4788721 0.012531 
18485374 4946180 1562247 6102207 0.022146 
4700010 2561451 3670005 4232645 0.023029 
1838989 743522 855418 1277035 0.006274 
7040926 5592196 591034 5664594 0.015412 
11700699 11602464 5976936 11660949 0.056590 
11189562 10786333 4252672 10914818 0.054460 
19643461 17583520 17816785 19410690 0.075726 
7426169 4501455 1938402 5242180 0.024566 
17032538 4284006 2673269 6243120 0.026563 
16135018 9251120 14431371 15308314 0.078797 
14620392 7318152 6544230 10422341 0.068689 
11836754 3236667 10932901 11142862 0.047045 
13675743 10205642 5262718 11303957 0.047149 
13233021 357931 5183428 5396563 0.016620 
4933720 4080390 3332180 4617381 0.025726 
8639634 4063115 326447 4213949 0.012537 
8681983 3339640 1003309 4040065 0.012160 
2648142 393016 40503 425242 0.000788 
19045063 13394890 10446264 16151222 0.092748 
12976554 2590134 8567620 9507341 0.040676 
4531492 3771038 822102 3918481 0.012825 
11900034 234353 10626526 10640841 0.027115 
12629780 1252068 7875024 8179025 0.025598 
5862802 1724949 3216466 3717548 0.019354 
10796522 2375867 10392531 10476651 0.041697 
19436157 17489134 11996868 18722770 0.101409 
4438548 1098216 1511166 2133738 0.010921 
11251530 4194560 869139 4778025 0.016094 
15097051 9885656 5239905 11854768 0.066324 
15077589 5077961 7928723 10603010 0.045270 
2194872 224548 1506858 1566064 0.004315 
8632557 7255176 7845306 8517712 0.039507 
1262337 1081645 1062022 1236362 0.005050 
7125139 4827578 6279340 6824380 0.031486 
10438014 716208 3696336 4135791 0.014603 
