# maxrange N1 N2 finalcard time(s)
19451238 12011839 9060120 16552458 0.217613 
12125383 5461803 8026365 8050664 0.097568 
10526343 8435622 5788501 10136350 0.134029 
10365981 768237 778350 1472729 0.016881 
3068011 23064 308140 45853 0.000384 
10090192 6366193 1345926 8609957 0.126037 
1756868 747555 35118 1133334 0.015723 
17683174 5162591 3283370 8595863 0.103494 
16005216 1868255 1207289 3506471 0.034026 
16945487 7917441 10069963 12209790 0.167018 
10238957 8642555 4097296 10003951 0.120575 
12713933 10662740 11760114 12407378 0.141624 
17293418 3713119 10392957 6599372 0.075102 
2971726 2256132 2396106 2735490 0.031866 
16925393 15783267 14967084 16830158 0.216378 
10372305 8770100 7519419 10186330 0.128392 
11269559 11199079 1126701 11269357 0.095420 
4734562 135480 4226957 265731 0.002334 
3384280 756321 2129102 1315646 0.016613 
5593010 991880 5170896 1769242 0.017209 
4027583 1277222 421139 2084334 0.022419 
1303708 966123 492706 1234288 0.014480 
12132557 115327 2515138 229707 0.001926 
2980710 489920 2971835 890114 0.008832 
19577690 1591373 9278751 3077838 0.030292 
6963638 4247032 5279097 5861081 0.080952 
15227667 9709125 14508653 13233466 0.194212 
7096180 4129283 4742535 5745194 0.079873 
9513899 632719 4469208 1174336 0.011818 
14749154 7464230 6627317 11117897 0.163209 
15258232 2063177 1606318 3772451 0.039034 
10492373 10100865 1439936 10471054 0.099610 
17609663 11014602 16412671 15101349 0.208609 
14620094 2346453 10343321 3848457 0.042117 
16922351 16005186 516404 16875800 0.214806 
2551742 1578900 1827434 2154085 0.026708 
19147515 397544 15325870 771211 0.006896 
15950186 3786627 6138873 6123423 0.067541 
15675634 5171597 5719877 8277252 0.105295 
1812722 1148949 1626273 1569957 0.019184 
16339643 8105430 9803513 11839064 0.172182 
9495354 3652188 1923698 5873784 0.089776 
6510139 5509309 4758032 6284974 0.066294 
4677418 2733661 723848 3947194 0.047342 
19485269 11458150 12226369 15853981 0.232178 
15342733 9119217 8437444 12709877 0.196419 
7654819 2622551 6086273 4406728 0.059244 
7691087 6817156 100669 7564031 0.076450 
12702450 389087 4462552 764446 0.007797 
13556837 7461377 7800715 10633567 0.159268 
8363610 1044575 6454460 1725716 0.018475 
13666704 4261039 4734061 7201013 0.098262 
10769829 306139 3824719 606180 0.005432 
4321892 3209153 3425018 4015006 0.046364 
17303605 10194293 3360059 14456507 0.217559 
14325361 2281113 9966971 4281760 0.046450 
9834447 312654 696188 602441 0.006379 
11574882 6820381 6785445 9638040 0.159914 
11675551 6678263 9139633 9221305 0.132928 
19650353 19183894 9694003 19636037 0.212088 
2764794 1690382 1988358 2329922 0.030859 
16277107 12803952 9508931 15416282 0.179952 
10679664 9884977 4464596 10640347 0.107240 
16098480 8833206 6045834 12464305 0.191528 
12186354 11474759 5660027 12150790 0.148188 
10832933 6806184 10255786 9338368 0.135322 
7106312 4754579 485473 6355098 0.083845 
5186709 3072614 2370542 4435845 0.064471 
15991608 4334557 7487073 7247571 0.098959 
7712995 4192682 384101 5728457 0.071588 
7196295 341299 5095589 653922 0.006889 
18264801 17509631 3783368 18231565 0.219308 
15446571 14555098 1971523 15374982 0.138965 
5251743 1322768 4265242 2278885 0.028897 
4874089 4813026 1116933 4873540 0.044546 
13798878 11462544 4729836 13385976 0.157801 
19885196 13301740 127061 17894044 0.292210 
3304213 3068287 2446956 3295607 0.030792 
4263370 3386824 2721928 4055890 0.044510 
15465115 9472231 12684107 12945063 0.184322 
2982639 1683767 1761624 2373270 0.032280 
2663198 98856 2599371 194239 0.001435 
13206202 9545887 9461389 11975225 0.157745 
12865128 8728529 6022084 11488071 0.156818 
10994571 9906104 2352716 10896441 0.119057 
4898138 3885071 2747999 4814624 0.059973 
